通しNo,目録データファイル名,目録データプロパティ,パス,説明,サンプルデータ,クラスマッピングNo.,MADBマッピング（クラス）,MADBマッピング（原データ：プロパティ名）,加工仕様,加工後サンプルデータ,注記,入力日,入力者,更新日
1,rcgs_item_sparql_20220812.csv,s,-,当該リソースURI,https://collection.rcgs.jp/resource/ITEM0005763,1,ゲーム個別資料,メモ,"""https://collection.rcgs.jp/resource/"" を削除",ITEM0005763,,,福田,
2,rcgs_item_sparql_20220812.csv,exemplarOf,-,例示するパッケージ,https://collection.rcgs.jp/resource/PACKAGE0006406,1,ゲーム個別資料,例示されたパッケージ,該当するパッケージのIDに変換（メモより同定可能）,M720252,,,福田,
3,rcgs_item_sparql_20220812.csv,spatial,-,保管場所,A78,1,ゲーム個別資料,保管場所,,,,,福田,
4,rcgs_item_sparql_20220812.csv,holdingAgent,-,管理者の指定,https://collection.rcgs.jp/resource/AGENT0000848,1,ゲーム個別資料,管理者,該当する責任主体のIDに変換（メモより同定可能）,C45021,,,福田,
5,rcgs_item_sparql_20220812.csv,identifiers,-,リソースのID,RCGSa0009756|S9092,1,ゲーム個別資料,資料ID,"複数値が記録されている場合""RCGSa""を含むIDのみ保存する",RCGSa0009756,,,福田,
6,rcgs_item_sparql_20220812.csv,exemplarOf,-,例示するパッケージ,https://collection.rcgs.jp/resource/PACKAGE0006406,1,ゲーム簿別資料,所蔵DBリンク,"""/resource/"" を""/page/""に置換",https://collection.rcgs.jp/page/PACKAGE0006406,,,福田,
7,rcgs_package_sparql_2022.csv,s,-,リソースの記述単位毎に付与される識別子,https://collection.rcgs.jp/resource/PACKAGE0000001,2,ゲームパッケージ,メモ,"""https://collection.rcgs.jp/resource/"" を削除",PACKAGE0000001,,,福田,
8,rcgs_package_sparql_2022.csv,schema_name,-,リソースに表記される主要なタイトル,ドンキーコング,2,ゲームパッケージ,タイトル,,,,,福田,
9,rcgs_package_sparql_2022.csv,edition,-,リソースの版の識別のための指定,初回限定,2,ゲームパッケージ,版表示,,,,,福田,
10,rcgs_package_sparql_2022.csv,publicationPeriodicity,-,リソースの刊行の頻度の分類,http://rdaregistry.info/termList/frequency/1016,2,ゲームパッケージ,刊行頻度,,,統制語彙対応済,,福田,
11,rcgs_package_sparql_2022.csv,titleTranscription_jaHrkt,-,リソースのタイトルのカタカナによる翻字形,ドンキーコング,2,ゲームパッケージ,タイトル（ヨミ）,,,,,福田,
