メモ	例示されたパッケージ	所蔵DBリンク	管理者	保管場所	サブタイプ	タイプ	ジャンル	資料ID
ITEM0005763	PACKAGE0006406	https://collection.rcgs.jp/page/PACKAGE0006406	AGENT0000848	A78	gm	GameItem	ゲーム個別資料	RCGSa0009756
ITEM0009089	PACKAGE0009336	https://collection.rcgs.jp/page/PACKAGE0009336	AGENT0000848	A118	gm	GameItem	ゲーム個別資料	RCGSa0013635
ITEM0009299	PACKAGE0009544	https://collection.rcgs.jp/page/PACKAGE0009544	AGENT0000848	D77	gm	GameItem	ゲーム個別資料	RCGSa0014002
ITEM0006813	PACKAGE0007689	https://collection.rcgs.jp/page/PACKAGE0007689	AGENT0000848	A102	gm	GameItem	ゲーム個別資料	RCGSa0010980
ITEM0000503	PACKAGE0000748	https://collection.rcgs.jp/page/PACKAGE0000748	AGENT0000848	C87	gm	GameItem	ゲーム個別資料	RCGSa0000504
ITEM0006051	PACKAGE0003737	https://collection.rcgs.jp/page/PACKAGE0003737	AGENT0000848	C105	gm	GameItem	ゲーム個別資料	RCGSa0010053
ITEM0009087	PACKAGE0009334	https://collection.rcgs.jp/page/PACKAGE0009334	AGENT0000848	A118	gm	GameItem	ゲーム個別資料	RCGSa0013641
ITEM0009088	PACKAGE0009335	https://collection.rcgs.jp/page/PACKAGE0009335	AGENT0000848	A118	gm	GameItem	ゲーム個別資料	RCGSa0013649
ITEM0009099	PACKAGE0009346	https://collection.rcgs.jp/page/PACKAGE0009346	AGENT0000848	A118	gm	GameItem	ゲーム個別資料	RCGSa0013659
ITEM0001147	PACKAGE0001113	https://collection.rcgs.jp/page/PACKAGE0001113	AGENT0000848	A34	gm	GameItem	ゲーム個別資料	RCGSa0001146
ITEM0009198	PACKAGE0009444	https://collection.rcgs.jp/page/PACKAGE0009444	AGENT0000848	A119	gm	GameItem	ゲーム個別資料	RCGSa0013631
