"subject","exemplarOf","spatial","owns","holdingAgent","identifiers"
"https://collection.rcgs.jp/resource/ITEM0005763","https://collection.rcgs.jp/resource/PACKAGE0006406","A78","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0009756|S9092"
"https://collection.rcgs.jp/resource/ITEM0009089","https://collection.rcgs.jp/resource/PACKAGE0009336","A118","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013635|S12355"
"https://collection.rcgs.jp/resource/ITEM0009299","https://collection.rcgs.jp/resource/PACKAGE0009544","D77","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0014002|S12537"
"https://collection.rcgs.jp/resource/ITEM0006813","https://collection.rcgs.jp/resource/PACKAGE0007689","A102","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0010980|S10128"
"https://collection.rcgs.jp/resource/ITEM0000503","https://collection.rcgs.jp/resource/PACKAGE0000748","C87","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0000504|S4118"
"https://collection.rcgs.jp/resource/ITEM0006051","https://collection.rcgs.jp/resource/PACKAGE0003737","C105","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0010053|S9381"
"https://collection.rcgs.jp/resource/ITEM0009087","https://collection.rcgs.jp/resource/PACKAGE0009334","A118","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013641|S12353"
"https://collection.rcgs.jp/resource/ITEM0009088","https://collection.rcgs.jp/resource/PACKAGE0009335","A118","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013649|S12354"
"https://collection.rcgs.jp/resource/ITEM0009099","https://collection.rcgs.jp/resource/PACKAGE0009346","A118","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013659|S12365"
"https://collection.rcgs.jp/resource/ITEM0001147","https://collection.rcgs.jp/resource/PACKAGE0001113","A34","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0001146|S4755"
"https://collection.rcgs.jp/resource/ITEM0009198","https://collection.rcgs.jp/resource/PACKAGE0009444","A119","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013631|S12450"
"https://collection.rcgs.jp/resource/ITEM0011165","https://collection.rcgs.jp/resource/PACKAGE0015406","A140","https://collection.rcgs.jp/resource/AGENT0002935","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0020480|E-lb-72|S14258"
"https://collection.rcgs.jp/resource/ITEM0008902","https://collection.rcgs.jp/resource/PACKAGE0009151","A116","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013399|S12235"
"https://collection.rcgs.jp/resource/ITEM0011166","https://collection.rcgs.jp/resource/PACKAGE0015407","A140","https://collection.rcgs.jp/resource/AGENT0002935","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0020504|E-lb-53|S14259"
"https://collection.rcgs.jp/resource/ITEM0004874","https://collection.rcgs.jp/resource/PACKAGE0006539","C171","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0008801|S3745"
"https://collection.rcgs.jp/resource/ITEM0004873","https://collection.rcgs.jp/resource/PACKAGE0006538","C171","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0008800|S3743"
"https://collection.rcgs.jp/resource/ITEM0010698","https://collection.rcgs.jp/resource/PACKAGE0004687","C140","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0015611|S13828"
"https://collection.rcgs.jp/resource/ITEM0001773","https://collection.rcgs.jp/resource/PACKAGE0000191","A28","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0001774|S5352"
"https://collection.rcgs.jp/resource/ITEM0006341","https://collection.rcgs.jp/resource/PACKAGE0007007","A76","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0010349|S9715"
"https://collection.rcgs.jp/resource/ITEM0009590","https://collection.rcgs.jp/resource/PACKAGE0009826","D83","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0014370|S12815"
"https://collection.rcgs.jp/resource/ITEM0017119","https://collection.rcgs.jp/resource/PACKAGE0005958","D105","https://collection.rcgs.jp/resource/AGENT0002935","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0020785|E-lb-436"
"https://collection.rcgs.jp/resource/ITEM0005262","https://collection.rcgs.jp/resource/PACKAGE0001788","A89","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0009240|S8565"
"https://collection.rcgs.jp/resource/ITEM0005887","https://collection.rcgs.jp/resource/PACKAGE0006907","A74","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0009886|S9187"
"https://collection.rcgs.jp/resource/ITEM0020905","https://collection.rcgs.jp/resource/PACKAGE0023616","D87","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0022276"
"https://collection.rcgs.jp/resource/ITEM0021115","https://collection.rcgs.jp/resource/PACKAGE0023803","A200","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0022628"
"https://collection.rcgs.jp/resource/ITEM0002416","https://collection.rcgs.jp/resource/PACKAGE0003001","C11","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0002420|S5984"
"https://collection.rcgs.jp/resource/ITEM0000188","https://collection.rcgs.jp/resource/PACKAGE0000480","C79","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0000189|S3750"
"https://collection.rcgs.jp/resource/ITEM0002756","https://collection.rcgs.jp/resource/PACKAGE0003243","C24","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0002761|S6320"
"https://collection.rcgs.jp/resource/ITEM0001823","https://collection.rcgs.jp/resource/PACKAGE0000254","A29","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0001824|S5402"
"https://collection.rcgs.jp/resource/ITEM0003181","https://collection.rcgs.jp/resource/PACKAGE0004268","C42","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0003186|S6742"
"https://collection.rcgs.jp/resource/ITEM0005074","https://collection.rcgs.jp/resource/PACKAGE0007551","A179","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0009016|S8381"
"https://collection.rcgs.jp/resource/ITEM0020901","https://collection.rcgs.jp/resource/PACKAGE0023612","D87","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0022277"
"https://collection.rcgs.jp/resource/ITEM0000252","https://collection.rcgs.jp/resource/PACKAGE0001485","A3","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0000254|S3860"
"https://collection.rcgs.jp/resource/ITEM0010361","https://collection.rcgs.jp/resource/PACKAGE0001065","A130","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0015236|S13497"
"https://collection.rcgs.jp/resource/ITEM0020912","https://collection.rcgs.jp/resource/PACKAGE0023622","A69","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0022271"
"https://collection.rcgs.jp/resource/ITEM0008697","https://collection.rcgs.jp/resource/PACKAGE0008935","A114","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013123|S12050"
"https://collection.rcgs.jp/resource/ITEM0009063","https://collection.rcgs.jp/resource/PACKAGE0009311","A118","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013656|S12330"
"https://collection.rcgs.jp/resource/ITEM0020911","https://collection.rcgs.jp/resource/PACKAGE0023621","A69","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0022273"
"https://collection.rcgs.jp/resource/ITEM0003172","https://collection.rcgs.jp/resource/PACKAGE0004143","C42","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0003177|S6733"
"https://collection.rcgs.jp/resource/ITEM0001619","https://collection.rcgs.jp/resource/PACKAGE0004655","C70","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0001620|S5200"
"https://collection.rcgs.jp/resource/ITEM0009065","https://collection.rcgs.jp/resource/PACKAGE0009313","A118","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013658|S12332"
"https://collection.rcgs.jp/resource/ITEM0011345","https://collection.rcgs.jp/resource/PACKAGE0003877","C160","https://collection.rcgs.jp/resource/AGENT0002935","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0020889|E-lb-357|S14425"
"https://collection.rcgs.jp/resource/ITEM0009075","https://collection.rcgs.jp/resource/PACKAGE0009323","A118","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013712|S12342"
"https://collection.rcgs.jp/resource/ITEM0009077","https://collection.rcgs.jp/resource/PACKAGE0009325","A118","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0013708|S12344"
"https://collection.rcgs.jp/resource/ITEM0005894","https://collection.rcgs.jp/resource/PACKAGE0004115","C119","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0009893|S9232"
"https://collection.rcgs.jp/resource/ITEM0004530","https://collection.rcgs.jp/resource/PACKAGE0006405","A40","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0006961|S3482"
"https://collection.rcgs.jp/resource/ITEM0004368","https://collection.rcgs.jp/resource/PACKAGE0006110","D16","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0004845|S7920"
"https://collection.rcgs.jp/resource/ITEM0004560","https://collection.rcgs.jp/resource/PACKAGE0006160","D20","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0007022|S8051"
"https://collection.rcgs.jp/resource/ITEM0005119","https://collection.rcgs.jp/resource/PACKAGE0000980","C38","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0009095|S8427"
"https://collection.rcgs.jp/resource/ITEM0005755","https://collection.rcgs.jp/resource/PACKAGE0006919","A86","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0020254|S9084"
"https://collection.rcgs.jp/resource/ITEM0001964","https://collection.rcgs.jp/resource/PACKAGE0000009","A27","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0001965|S5537"
"https://collection.rcgs.jp/resource/ITEM0008671","https://collection.rcgs.jp/resource/PACKAGE0008907","A112","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0014746|S12025"
"https://collection.rcgs.jp/resource/ITEM0008673","https://collection.rcgs.jp/resource/PACKAGE0008909","A112","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0014744|S12027"
"https://collection.rcgs.jp/resource/ITEM0003547","https://collection.rcgs.jp/resource/PACKAGE0002220","C54","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0003553|S7106"
"https://collection.rcgs.jp/resource/ITEM0007139","https://collection.rcgs.jp/resource/PACKAGE0005487","D42","https://collection.rcgs.jp/resource/AGENT0000848","https://collection.rcgs.jp/resource/AGENT0000848","RCGSa0011307|S10466"
